"등록일","시도","시군구","업종","축종","영업상태","개소","규모","동수"
20180401,"충청북도","충청북도 음성군","가축사육업                    ","젖소","휴업",2,1876,7
20180401,"경상북도","경상북도 상주시","가축사육업                    ","오리","폐업",1,3660.3,4
20180401,"경상북도","경상북도 상주시","가축사육업                    ","오리","정상",1,387.73,2
20180401,"경상북도","경상북도 청도군","가축사육업                    ","육계","휴업",1,840,2
20180401,"경상북도","경상북도 경주시","가축사육업                    ","한우","휴업",211,62068.03,327
20180401,"충청남도","충청남도 예산군","가축사육업                    ","산양","정상",26,23919.35,36
20180401,"경기도","경기도 안성시","가축사육업                    ","육우","정상",467,509499.59,1159
20180401,"전라북도","전라북도 남원시","가축사육업                    ","돼지","정상",65,110479.31,339
20180401,"충청남도","충청남도 아산시","가축사육업                    ","돼지","폐업",84,89066.23,271
20180401,"충청북도","충청북도 괴산군","가축사육업                    ","육계","정상",51,107132.38,232
20180401,"전라남도","전라남도 고흥군","가축사육업                    ","돼지","말소",4,919.95,7
20180401,"충청남도","충청남도 서산시","가축사육업                    ","돼지","정상",58,80627.01,260
20180401,"경상북도","경상북도 성주군","가축사육업                    ","육우","폐업",2,1313.6,8
20180401,"경상북도","경상북도 칠곡군","가축사육업                    ","한우","폐업",66,34035.55,108
20180401,"경기도","경기도 안성시","가축사육업                    ","돼지","정상",222,539003.41,1245
20180401,"경기도","경기도 평택시","가축사육업                    ","돼지","폐업",46,60725.84,164
20180401,"충청남도","충청남도 당진시","가축사육업                    ","한우","폐업",300,79360.35,393
20180401,"충청남도","충청남도 당진시","가축사육업                    ","한우","말소",51,10318.01,229
20180401,"강원도","강원도 철원군","가축사육업                    ","육계","정상",54,132716.94,167
20180401,"경상북도","경상북도 칠곡군","가축사육업                    ","한우","정상",272,167055.33,497
20180401,"경기도","경기도 안성시","가축사육업                    ","육계","정상",76,198202.84,344
20180401,"전라남도","전라남도 진도군","가축사육업                    ","산양","정상",1,1559.28,4
20180401,"경기도","경기도 양주시","가축사육업                    ","염소","정상",1,24,1
20180401,"충청남도","충청남도 태안군","가축사육업                    ","사슴","폐업",1,280,1
20180401,"전라북도","전라북도 진안군","가축사육업                    ","젖소","휴업",1,218,1
20180401,"경상남도","경상남도 통영시","가축사육업                    ","돼지","휴업",1,572,2
20180401,"경상북도","경상북도 김천시","가축사육업                    ","사슴","폐업",1,98,1
20180401,"광주광역시","광주광역시 북구","가축사육업                    ","산양","폐업",2,126,3
20180401,"경기도","경기도 포천시","가축사육업                    ","면양","정상",1,1635,1
20180401,"충청남도","충청남도 천안시","가축사육업                    ","육계","휴업",1,1537.2,6
20180401,"충청북도","충청북도 진천군","가축사육업                    ","메추리","정상",1,1377,5
20180401,"전라북도","전라북도 군산시","가축사육업                    ","육우","휴업",2,4202.4,5
20180401,"충청북도","충청북도 괴산군","가축사육업                    ","산란계","말소",1,2892.84,10
20180401,"충청북도","충청북도 청주시","가축사육업                    ","육계","말소",1,264,2
20180401,"경상북도","경상북도 칠곡군","가축사육업                    ","오리","정상",1,425,4
20180401,"전라북도","전라북도 진안군","가축사육업                    ","육우","정상",1,987.5,2
20180401,"충청남도","충청남도 서산시","가축사육업                    ","사슴","휴업",1,150,1
20180401,"경기도","경기도 고양시","가축사육업                    ","산란계","정상",23,14846.4,49
20180401,"경기도","경기도 연천군","가축사육업                    ","돼지","정상",91,172044.4,468
20180401,"전라남도","전라남도 나주시","가축사육업                    ","한우","정상",1497,822856.79,2259
20180401,"인천광역시","인천광역시 남동구","가축사육업                    ","젖소","폐업",5,3675.7,11
20180401,"인천광역시","인천광역시 연수구","가축사육업                    ","돼지","정상",6,1899,10
20180401,"인천광역시","인천광역시 강화군","가축사육업                    ","한우","폐업",103,36212.01,153
20180401,"인천광역시","인천광역시 강화군","가축사육업                    ","젖소","정상",44,44971.38,152
20180401,"인천광역시","인천광역시 강화군","가축사육업                    ","젖소","폐업",9,9656.6,29
20180401,"전라북도","전라북도 남원시","가축사육업                    ","한우","정상",665,511150.45,1353
20180401,"인천광역시","인천광역시 계양구","가축사육업                    ","젖소","폐업",11,8513.75,31
20180401,"충청남도","충청남도 천안시","가축사육업                    ","돼지","폐업",69,82466.9,273
20180401,"전라남도","전라남도 영광군","가축사육업                    ","한우","정상",822,398625.77,2263
20180401,"경기도","경기도 안성시","가축사육업                    ","산란계","정상",50,149651.67,229
20180401,"충청남도","충청남도 부여군","가축사육업                    ","오리","정상",3,5465.2,10
20180401,"경상북도","경상북도 군위군","가축사육업                    ","한우","폐업",39,7622.85,51
20180401,"강원도","강원도 강릉시","가축사육업                    ","산란계","휴업",1,314.94,2
20180401,"전라북도","전라북도 남원시","가축사육업                    ","오리","정상",45,206569.58,302
20180401,"충청남도","충청남도 천안시","가축사육업                    ","사슴","정상",24,30900.8,47
20180401,"경기도","경기도 광명시","가축사육업                    ","돼지","폐업",5,2019.94,12
20180401,"경기도","경기도 수원시","가축사육업                    ","오리","휴업",1,500,1
20180401,"대구광역시","대구광역시 북구","가축사육업                    ","산란계","폐업",2,738.4,4
20180401,"전라북도","전라북도 임실군","가축사육업                    ","오리","정상",4,6480,11
20180401,"전라남도","전라남도 영암군","가축사육업                    ","산란계","정상",10,14157.19,24
20180401,"경상북도","경상북도 청송군","가축사육업                    ","육계","말소",9,39142,46
20180401,"경기도","경기도 포천시","가축사육업                    ","오리","정상",5,10409,35
20180401,"충청남도","충청남도 홍성군","가축사육업                    ","오리","정상",1,3655.79,10
20180401,"강원도","강원도 속초시","가축사육업                    ","사슴","정상",5,6122.5,6
